
time 02h 47m 41s, episodes 5642, frames 2.2M, mean epr 51.18, run loss 195.62
time 02h 48m 42s, episodes 5662, frames 2.2M, mean epr 56.84, run loss 206.04
time 02h 49m 42s, episodes 5679, frames 2.2M, mean epr 57.98, run loss 209.80
time 02h 50m 42s, episodes 5702, frames 2.2M, mean epr 64.07, run loss 219.15
time 02h 51m 43s, episodes 5722, frames 2.2M, mean epr 61.09, run loss 214.74
time 02h 52m 44s, episodes 5749, frames 2.2M, mean epr 55.50, run loss 195.72
time 02h 53m 45s, episodes 5774, frames 2.2M, mean epr 59.18, run loss 202.66
time 02h 54m 45s, episodes 5804, frames 2.3M, mean epr 54.12, run loss 189.91
time 02h 55m 46s, episodes 5823, frames 2.3M, mean epr 51.30, run loss 184.89
time 02h 56m 46s, episodes 5845, frames 2.3M, mean epr 59.47, run loss 200.96
time 02h 57m 47s, episodes 5876, frames 2.3M, mean epr 51.25, run loss 183.21
time 02h 58m 47s, episodes 5897, frames 2.3M, mean epr 47.42, run loss 175.30
time 02h 59m 48s, episodes 5918, frames 2.3M, mean epr 51.82, run loss 187.01
time 03h 00m 48s, episodes 5953, frames 2.3M, mean epr 49.87, run loss 177.47
time 03h 01m 48s, episodes 5982, frames 2.3M, mean epr 43.20, run loss 159.46
time 03h 02m 48s, episodes 5999, frames 2.4M, mean epr 44.52, run loss 164.31
time 03h 03m 49s, episodes 6020, frames 2.4M, mean epr 52.04, run loss 181.03
time 03h 04m 50s, episodes 6049, frames 2.4M, mean epr 57.51, run loss 184.45
time 03h 05m 51s, episodes 6074, frames 2.4M, mean epr 52.41, run loss 173.46
time 03h 06m 51s, episodes 6091, frames 2.4M, mean epr 57.75, run loss 184.49
time 03h 07m 52s, episodes 6106, frames 2.4M, mean epr 66.08, run loss 201.67
time 03h 08m 52s, episodes 6124, frames 2.4M, mean epr 80.79, run loss 226.99
time 03h 09m 52s, episodes 6148, frames 2.5M, mean epr 83.94, run loss 233.99
time 03h 10m 52s, episodes 6179, frames 2.5M, mean epr 74.60, run loss 215.79
time 03h 11m 52s, episodes 6204, frames 2.5M, mean epr 62.46, run loss 189.80
time 03h 12m 53s, episodes 6225, frames 2.5M, mean epr 60.08, run loss 185.13
time 03h 13m 54s, episodes 6240, frames 2.5M, mean epr 71.16, run loss 205.72
time 03h 14m 54s, episodes 6263, frames 2.5M, mean epr 78.65, run loss 218.48
time 03h 15m 54s, episodes 6286, frames 2.5M, mean epr 78.06, run loss 216.50
time 03h 16m 54s, episodes 6311, frames 2.5M, mean epr 71.89, run loss 211.00
time 03h 17m 55s, episodes 6327, frames 2.6M, mean epr 68.03, run loss 205.94
time 03h 18m 55s, episodes 6346, frames 2.6M, mean epr 81.66, run loss 233.42
time 03h 19m 55s, episodes 6379, frames 2.6M, mean epr 70.55, run loss 207.17
time 03h 20m 55s, episodes 6423, frames 2.6M, mean epr 51.73, run loss 155.56
time 03h 21m 55s, episodes 6456, frames 2.6M, mean epr 46.14, run loss 145.82
time 03h 22m 56s, episodes 6486, frames 2.6M, mean epr 44.46, run loss 144.67
time 03h 23m 56s, episodes 6509, frames 2.6M, mean epr 42.57, run loss 145.70
time 03h 24m 57s, episodes 6539, frames 2.6M, mean epr 39.79, run loss 143.01
time 03h 25m 58s, episodes 6557, frames 2.7M, mean epr 41.24, run loss 148.60
time 03h 26m 59s, episodes 6573, frames 2.7M, mean epr 53.28, run loss 174.66
time 03h 27m 59s, episodes 6590, frames 2.7M, mean epr 63.87, run loss 191.95
time 03h 28m 59s, episodes 6605, frames 2.7M, mean epr 73.83, run loss 211.32
time 03h 29m 59s, episodes 6623, frames 2.7M, mean epr 83.22, run loss 234.53
time 03h 31m 00s, episodes 6643, frames 2.7M, mean epr 87.00, run loss 241.57
time 03h 32m 01s, episodes 6660, frames 2.7M, mean epr 84.60, run loss 235.84
time 03h 33m 01s, episodes 6680, frames 2.8M, mean epr 89.84, run loss 246.36
time 03h 34m 02s, episodes 6689, frames 2.8M, mean epr 97.92, run loss 259.74
time 03h 35m 03s, episodes 6706, frames 2.8M, mean epr 113.60, run loss 289.63
time 03h 36m 04s, episodes 6723, frames 2.8M, mean epr 117.04, run loss 294.41
time 03h 37m 04s, episodes 6742, frames 2.8M, mean epr 117.59, run loss 296.25
time 03h 38m 05s, episodes 6758, frames 2.8M, mean epr 116.09, run loss 292.99
time 03h 39m 05s, episodes 6774, frames 2.8M, mean epr 121.14, run loss 301.55
time 03h 40m 06s, episodes 6791, frames 2.8M, mean epr 122.53, run loss 304.66
time 03h 41m 06s, episodes 6814, frames 2.9M, mean epr 110.44, run loss 283.72
time 03h 42m 07s, episodes 6834, frames 2.9M, mean epr 101.09, run loss 265.69
time 03h 43m 08s, episodes 6854, frames 2.9M, mean epr 100.68, run loss 269.61
time 03h 44m 09s, episodes 6867, frames 2.9M, mean epr 106.33, run loss 278.13
time 03h 45m 10s, episodes 6881, frames 2.9M, mean epr 118.61, run loss 298.30
time 03h 46m 10s, episodes 6897, frames 2.9M, mean epr 121.70, run loss 303.28
time 03h 47m 11s, episodes 6910, frames 2.9M, mean epr 124.74, run loss 308.50
time 03h 48m 12s, episodes 6923, frames 2.9M, mean epr 128.73, run loss 314.85
time 03h 49m 13s, episodes 6940, frames 3.0M, mean epr 133.44, run loss 321.65
time 03h 50m 14s, episodes 6968, frames 3.0M, mean epr 121.94, run loss 301.08
time 03h 51m 14s, episodes 6996, frames 3.0M, mean epr 100.46, run loss 262.54
time 03h 52m 14s, episodes 7023, frames 3.0M, mean epr 84.29, run loss 231.84
time 03h 53m 15s, episodes 7049, frames 3.0M, mean epr 72.85, run loss 211.18
time 03h 54m 15s, episodes 7090, frames 3.0M, mean epr 53.69, run loss 164.97
time 03h 55m 15s, episodes 7127, frames 3.0M, mean epr 42.03, run loss 137.59
time 03h 56m 16s, episodes 7150, frames 3.1M, mean epr 40.18, run loss 138.27
time 03h 57m 16s, episodes 7169, frames 3.1M, mean epr 45.88, run loss 151.08
time 03h 58m 17s, episodes 7194, frames 3.1M, mean epr 50.75, run loss 161.09
time 03h 59m 18s, episodes 7215, frames 3.1M, mean epr 55.78, run loss 172.70
time 04h 00m 19s, episodes 7234, frames 3.1M, mean epr 61.16, run loss 186.48
time 04h 01m 20s, episodes 7246, frames 3.1M, mean epr 67.13, run loss 197.28
time 04h 02m 21s, episodes 7263, frames 3.1M, mean epr 83.35, run loss 224.34
time 04h 03m 21s, episodes 7279, frames 3.1M, mean epr 87.93, run loss 233.33
time 04h 04m 21s, episodes 7301, frames 3.2M, mean epr 87.74, run loss 236.11
time 04h 05m 22s, episodes 7327, frames 3.2M, mean epr 82.66, run loss 227.79
time 04h 06m 23s, episodes 7351, frames 3.2M, mean epr 75.10, run loss 219.16
time 04h 07m 24s, episodes 7366, frames 3.2M, mean epr 73.42, run loss 220.35
time 04h 08m 25s, episodes 7388, frames 3.2M, mean epr 79.20, run loss 232.45
time 04h 09m 25s, episodes 7411, frames 3.2M, mean epr 76.76, run loss 226.25
time 04h 10m 26s, episodes 7433, frames 3.2M, mean epr 69.45, run loss 216.69
time 04h 11m 27s, episodes 7451, frames 3.3M, mean epr 70.91, run loss 219.26
time 04h 12m 27s, episodes 7466, frames 3.3M, mean epr 74.09, run loss 224.35
time 04h 13m 28s, episodes 7487, frames 3.3M, mean epr 85.12, run loss 240.63
time 04h 14m 28s, episodes 7506, frames 3.3M, mean epr 82.47, run loss 233.41
time 04h 15m 29s, episodes 7548, frames 3.3M, mean epr 71.87, run loss 200.35
time 04h 16m 30s, episodes 7594, frames 3.3M, mean epr 48.15, run loss 144.25
time 04h 17m 31s, episodes 7620, frames 3.3M, mean epr 44.52, run loss 143.58
time 04h 18m 31s, episodes 7647, frames 3.3M, mean epr 44.77, run loss 145.85
time 04h 19m 32s, episodes 7670, frames 3.4M, mean epr 46.97, run loss 151.45
time 04h 20m 33s, episodes 7692, frames 3.4M, mean epr 48.89, run loss 156.90
time 04h 21m 34s, episodes 7706, frames 3.4M, mean epr 55.42, run loss 168.60
time 04h 22m 35s, episodes 7725, frames 3.4M, mean epr 74.88, run loss 198.70
time 04h 23m 36s, episodes 7743, frames 3.4M, mean epr 75.56, run loss 203.46
time 04h 24m 36s, episodes 7758, frames 3.4M, mean epr 79.33, run loss 212.90
time 04h 25m 36s, episodes 7775, frames 3.4M, mean epr 89.34, run loss 230.83
time 04h 26m 36s, episodes 7789, frames 3.4M, mean epr 97.72, run loss 244.41
time 04h 27m 37s, episodes 7804, frames 3.5M, mean epr 110.47, run loss 267.98
time 04h 28m 38s, episodes 7820, frames 3.5M, mean epr 114.75, run loss 277.98
time 04h 29m 38s, episodes 7829, frames 3.5M, mean epr 119.18, run loss 286.34
time 04h 30m 38s, episodes 7847, frames 3.5M, mean epr 132.21, run loss 307.81
time 04h 31m 38s, episodes 7859, frames 3.5M, mean epr 129.80, run loss 302.68
time 04h 32m 39s, episodes 7878, frames 3.5M, mean epr 140.20, run loss 319.17
time 04h 33m 40s, episodes 7902, frames 3.5M, mean epr 129.92, run loss 301.75
time 04h 34m 41s, episodes 7917, frames 3.6M, mean epr 121.66, run loss 290.52
