
time 00h 03m 00s, episodes 88, frames 2.0M, mean epr 0.00, run loss -1.46
time 00h 04m 01s, episodes 104, frames 2.1M, mean epr 0.00, run loss -1.84
time 00h 05m 02s, episodes 120, frames 2.1M, mean epr 0.00, run loss -2.56
time 00h 06m 03s, episodes 143, frames 2.1M, mean epr 0.00, run loss -3.11
time 00h 07m 03s, episodes 165, frames 2.1M, mean epr 0.00, run loss -3.52
time 00h 08m 03s, episodes 205, frames 2.1M, mean epr 0.00, run loss -3.51
time 00h 09m 05s, episodes 242, frames 2.1M, mean epr 0.00, run loss -3.20
time 00h 10m 06s, episodes 280, frames 2.1M, mean epr 0.00, run loss -3.31
time 00h 11m 07s, episodes 320, frames 2.1M, mean epr 0.00, run loss -3.08
time 00h 12m 08s, episodes 356, frames 2.2M, mean epr 0.00, run loss -3.02
time 00h 13m 08s, episodes 403, frames 2.2M, mean epr 0.00, run loss -2.83
time 00h 14m 09s, episodes 448, frames 2.2M, mean epr 0.00, run loss -2.70
time 00h 15m 09s, episodes 492, frames 2.2M, mean epr 0.00, run loss -2.82
time 00h 16m 09s, episodes 540, frames 2.2M, mean epr 0.00, run loss -2.41
time 00h 17m 09s, episodes 582, frames 2.2M, mean epr 0.00, run loss -2.49
time 00h 18m 10s, episodes 629, frames 2.2M, mean epr 0.00, run loss -2.55
time 00h 19m 11s, episodes 681, frames 2.2M, mean epr 0.00, run loss -2.48
time 00h 20m 12s, episodes 736, frames 2.3M, mean epr 0.00, run loss -2.37
time 00h 21m 13s, episodes 787, frames 2.3M, mean epr 0.00, run loss -2.52
time 00h 22m 13s, episodes 843, frames 2.3M, mean epr 0.00, run loss -2.40
time 00h 23m 13s, episodes 897, frames 2.3M, mean epr 0.00, run loss -2.51
time 00h 24m 14s, episodes 956, frames 2.3M, mean epr 0.00, run loss -2.11
time 00h 25m 14s, episodes 1005, frames 2.3M, mean epr 0.00, run loss -2.23
time 00h 26m 15s, episodes 1061, frames 2.3M, mean epr 0.00, run loss -2.45
time 00h 27m 15s, episodes 1121, frames 2.3M, mean epr 0.00, run loss -2.20
time 00h 28m 16s, episodes 1178, frames 2.4M, mean epr 0.00, run loss -2.30
time 00h 29m 17s, episodes 1235, frames 2.4M, mean epr 0.00, run loss -2.22
time 00h 30m 19s, episodes 1295, frames 2.4M, mean epr 0.00, run loss -2.47
time 00h 31m 19s, episodes 1347, frames 2.4M, mean epr 0.00, run loss -2.30
time 00h 32m 19s, episodes 1401, frames 2.4M, mean epr 0.00, run loss -2.30
time 00h 33m 19s, episodes 1450, frames 2.4M, mean epr 0.00, run loss -2.27
time 00h 34m 19s, episodes 1511, frames 2.4M, mean epr 0.00, run loss -2.32
time 00h 35m 20s, episodes 1567, frames 2.4M, mean epr 0.00, run loss -2.38
time 00h 36m 20s, episodes 1620, frames 2.5M, mean epr 0.00, run loss -2.29
time 00h 37m 20s, episodes 1676, frames 2.5M, mean epr 0.00, run loss -2.29
time 00h 38m 20s, episodes 1727, frames 2.5M, mean epr 0.00, run loss -2.31
time 00h 39m 21s, episodes 1790, frames 2.5M, mean epr 0.00, run loss -2.42
time 00h 40m 21s, episodes 1843, frames 2.5M, mean epr 0.00, run loss -2.28
time 00h 41m 22s, episodes 1892, frames 2.5M, mean epr 0.00, run loss -2.42
time 00h 42m 22s, episodes 1947, frames 2.5M, mean epr 0.00, run loss -2.49
time 00h 43m 22s, episodes 1995, frames 2.5M, mean epr 0.00, run loss -2.56
time 00h 44m 23s, episodes 2044, frames 2.6M, mean epr 0.00, run loss -2.72
time 00h 45m 23s, episodes 2099, frames 2.6M, mean epr 0.00, run loss -2.64
time 00h 46m 24s, episodes 2151, frames 2.6M, mean epr 0.00, run loss -2.54
time 00h 47m 24s, episodes 2201, frames 2.6M, mean epr 0.00, run loss -2.60
time 00h 48m 25s, episodes 2251, frames 2.6M, mean epr 0.00, run loss -2.65
time 00h 49m 25s, episodes 2307, frames 2.6M, mean epr 0.00, run loss -2.60
time 00h 50m 25s, episodes 2364, frames 2.6M, mean epr 0.00, run loss -2.50
time 00h 51m 26s, episodes 2419, frames 2.6M, mean epr 0.00, run loss -2.56
time 00h 52m 26s, episodes 2477, frames 2.7M, mean epr 0.00, run loss -2.45
time 00h 53m 27s, episodes 2534, frames 2.7M, mean epr 0.00, run loss -2.40
time 00h 54m 28s, episodes 2588, frames 2.7M, mean epr 0.00, run loss -2.51
time 00h 55m 28s, episodes 2641, frames 2.7M, mean epr 0.00, run loss -2.56
time 00h 56m 28s, episodes 2691, frames 2.7M, mean epr 0.00, run loss -2.59
time 00h 57m 28s, episodes 2747, frames 2.7M, mean epr 0.00, run loss -2.57
time 00h 58m 28s, episodes 2804, frames 2.7M, mean epr 0.00, run loss -2.56
time 00h 59m 28s, episodes 2861, frames 2.7M, mean epr 0.00, run loss -2.56
time 01h 00m 29s, episodes 2915, frames 2.8M, mean epr 0.00, run loss -2.53
time 01h 01m 29s, episodes 2972, frames 2.8M, mean epr 0.00, run loss -2.63
time 01h 02m 29s, episodes 3031, frames 2.8M, mean epr 0.00, run loss -2.58
time 01h 03m 30s, episodes 3082, frames 2.8M, mean epr 0.00, run loss -2.61
time 01h 04m 30s, episodes 3137, frames 2.8M, mean epr 0.00, run loss -2.56
time 01h 05m 30s, episodes 3191, frames 2.8M, mean epr 0.00, run loss -2.59
time 01h 06m 30s, episodes 3238, frames 2.8M, mean epr 0.00, run loss -2.66
time 01h 07m 32s, episodes 3292, frames 2.8M, mean epr 0.00, run loss -2.67
time 01h 08m 32s, episodes 3340, frames 2.9M, mean epr 0.00, run loss -2.85
time 01h 09m 33s, episodes 3397, frames 2.9M, mean epr 0.00, run loss -2.89
time 01h 10m 34s, episodes 3454, frames 2.9M, mean epr 0.00, run loss -2.71
time 01h 11m 35s, episodes 3505, frames 2.9M, mean epr 0.00, run loss -2.68
time 01h 12m 35s, episodes 3559, frames 2.9M, mean epr 0.00, run loss -2.82
time 01h 13m 35s, episodes 3610, frames 2.9M, mean epr 0.00, run loss -2.72
time 01h 14m 36s, episodes 3662, frames 2.9M, mean epr 0.00, run loss -2.86
time 01h 15m 36s, episodes 3717, frames 2.9M, mean epr 0.00, run loss -2.79
time 01h 16m 37s, episodes 3767, frames 3.0M, mean epr 0.00, run loss -2.77
time 01h 17m 38s, episodes 3825, frames 3.0M, mean epr 0.00, run loss -2.79
time 01h 18m 39s, episodes 3877, frames 3.0M, mean epr 0.00, run loss -2.72
time 01h 19m 39s, episodes 3935, frames 3.0M, mean epr 0.00, run loss -2.66
time 01h 20m 39s, episodes 3985, frames 3.0M, mean epr 0.00, run loss -2.67
time 01h 21m 40s, episodes 4037, frames 3.0M, mean epr 0.00, run loss -2.86
time 01h 22m 40s, episodes 4090, frames 3.0M, mean epr 0.00, run loss -2.80
time 01h 23m 40s, episodes 4144, frames 3.0M, mean epr 0.00, run loss -2.76
time 01h 24m 40s, episodes 4201, frames 3.1M, mean epr 0.00, run loss -2.66
time 01h 25m 41s, episodes 4247, frames 3.1M, mean epr 0.00, run loss -2.74
time 01h 26m 42s, episodes 4302, frames 3.1M, mean epr 0.00, run loss -2.83
time 01h 27m 43s, episodes 4359, frames 3.1M, mean epr 0.00, run loss -2.77
time 01h 28m 43s, episodes 4401, frames 3.1M, mean epr 0.00, run loss -2.89
time 01h 29m 43s, episodes 4456, frames 3.1M, mean epr 0.00, run loss -2.67
time 01h 30m 43s, episodes 4507, frames 3.1M, mean epr 0.00, run loss -2.89
time 01h 31m 43s, episodes 4551, frames 3.1M, mean epr 0.00, run loss -3.04
time 01h 32m 43s, episodes 4605, frames 3.2M, mean epr 0.00, run loss -3.04
time 01h 33m 43s, episodes 4659, frames 3.2M, mean epr 0.00, run loss -2.79
time 01h 34m 44s, episodes 4713, frames 3.2M, mean epr 0.00, run loss -2.76
time 01h 35m 44s, episodes 4767, frames 3.2M, mean epr 0.00, run loss -2.73
time 01h 36m 45s, episodes 4824, frames 3.2M, mean epr 0.00, run loss -2.71
time 01h 37m 45s, episodes 4885, frames 3.2M, mean epr 0.00, run loss -2.56
time 01h 38m 45s, episodes 4945, frames 3.2M, mean epr 0.00, run loss -2.56
time 01h 39m 45s, episodes 4994, frames 3.2M, mean epr 0.00, run loss -2.69
time 01h 40m 45s, episodes 5042, frames 3.3M, mean epr 0.00, run loss -2.73
time 01h 41m 45s, episodes 5099, frames 3.3M, mean epr 0.00, run loss -2.66
time 01h 42m 46s, episodes 5150, frames 3.3M, mean epr 0.00, run loss -2.75
time 01h 43m 46s, episodes 5206, frames 3.3M, mean epr 0.00, run loss -2.74
time 01h 44m 48s, episodes 5266, frames 3.3M, mean epr 0.00, run loss -2.59
time 01h 45m 48s, episodes 5318, frames 3.3M, mean epr 0.00, run loss -2.67
time 01h 46m 48s, episodes 5372, frames 3.3M, mean epr 0.00, run loss -2.72
time 01h 47m 48s, episodes 5431, frames 3.3M, mean epr 0.00, run loss -2.63
time 01h 48m 50s, episodes 5485, frames 3.4M, mean epr 0.00, run loss -2.61
time 01h 49m 50s, episodes 5531, frames 3.4M, mean epr 0.00, run loss -2.75
time 01h 50m 50s, episodes 5586, frames 3.4M, mean epr 0.00, run loss -2.86
time 01h 51m 51s, episodes 5645, frames 3.4M, mean epr 0.00, run loss -2.64
time 01h 52m 51s, episodes 5697, frames 3.4M, mean epr 0.00, run loss -2.73
time 01h 53m 51s, episodes 5759, frames 3.4M, mean epr 0.00, run loss -2.63
time 01h 54m 51s, episodes 5820, frames 3.4M, mean epr 0.00, run loss -2.52
time 01h 55m 52s, episodes 5866, frames 3.4M, mean epr 0.00, run loss -2.67
time 01h 56m 53s, episodes 5922, frames 3.5M, mean epr 0.00, run loss -2.74
time 01h 57m 53s, episodes 5968, frames 3.5M, mean epr 0.00, run loss -2.85
time 01h 58m 53s, episodes 6027, frames 3.5M, mean epr 0.00, run loss -2.60
time 01h 59m 54s, episodes 6080, frames 3.5M, mean epr 0.00, run loss -2.64
time 02h 00m 54s, episodes 6127, frames 3.5M, mean epr 0.00, run loss -2.74
time 02h 01m 55s, episodes 6187, frames 3.5M, mean epr 0.00, run loss -2.74
time 02h 02m 56s, episodes 6237, frames 3.5M, mean epr 0.00, run loss -2.78
time 02h 03m 57s, episodes 6285, frames 3.5M, mean epr 0.00, run loss -2.86
time 02h 04m 57s, episodes 6347, frames 3.6M, mean epr 0.00, run loss -2.71
time 02h 05m 57s, episodes 6406, frames 3.6M, mean epr 0.00, run loss -2.63
time 02h 06m 58s, episodes 6462, frames 3.6M, mean epr 0.00, run loss -2.68
time 02h 07m 59s, episodes 6522, frames 3.6M, mean epr 0.00, run loss -2.64
time 02h 08m 59s, episodes 6576, frames 3.6M, mean epr 0.00, run loss -2.70
time 02h 10m 00s, episodes 6633, frames 3.6M, mean epr 0.00, run loss -2.69
time 02h 11m 00s, episodes 6687, frames 3.6M, mean epr 0.00, run loss -2.80
time 02h 12m 00s, episodes 6738, frames 3.6M, mean epr 0.00, run loss -2.90
